0 Branching ratio for OCS       Total        1 branches    
Lambda          Total           CO/S
1800.00         0.00E+00        0.00E+00
1800.50         0.00E+00        0.00E+00
1800.99         0.00E+00        0.00E+00
1801.49         0.00E+00        0.00E+00
1801.98         0.00E+00        0.00E+00
1802.48         0.00E+00        0.00E+00
1802.97         0.00E+00        0.00E+00
1803.47         0.00E+00        0.00E+00
1803.96         0.00E+00        0.00E+00
1804.46         0.00E+00        0.00E+00
1804.96         0.00E+00        0.00E+00
1805.45         0.00E+00        0.00E+00
1805.95         0.00E+00        0.00E+00
1806.44         0.00E+00        0.00E+00
1806.94         0.00E+00        0.00E+00
1807.43         0.00E+00        0.00E+00
1807.93         0.00E+00        0.00E+00
1808.43         0.00E+00        0.00E+00
1808.92         0.00E+00        0.00E+00
1809.42         0.00E+00        0.00E+00
1809.91         0.00E+00        0.00E+00
1810.41         0.00E+00        0.00E+00
1810.90         0.00E+00        0.00E+00
1811.40         0.00E+00        0.00E+00
1811.89         0.00E+00        0.00E+00
1812.39         0.00E+00        0.00E+00
1812.89         0.00E+00        0.00E+00
1813.38         0.00E+00        0.00E+00
1813.88         0.00E+00        0.00E+00
1814.37         0.00E+00        0.00E+00
1814.87         0.00E+00        0.00E+00
1815.36         0.00E+00        0.00E+00
1815.86         0.00E+00        0.00E+00
1816.36         0.00E+00        0.00E+00
1816.85         0.00E+00        0.00E+00
1817.35         0.00E+00        0.00E+00
1817.84         0.00E+00        0.00E+00
1818.34         0.00E+00        0.00E+00
1818.83         0.00E+00        0.00E+00
1819.33         0.00E+00        0.00E+00
1819.82         0.00E+00        0.00E+00
1820.32         0.00E+00        0.00E+00
1820.82         0.00E+00        0.00E+00
1821.31         0.00E+00        0.00E+00
1821.81         0.00E+00        0.00E+00
1822.30         0.00E+00        0.00E+00
1822.80         0.00E+00        0.00E+00
1823.29         0.00E+00        0.00E+00
1823.79         0.00E+00        0.00E+00
1824.28         0.00E+00        0.00E+00
1824.78         0.00E+00        0.00E+00
1825.28         0.00E+00        0.00E+00
1825.77         0.00E+00        0.00E+00
1826.27         0.00E+00        0.00E+00
1826.76         0.00E+00        0.00E+00
1827.26         0.00E+00        0.00E+00
1827.75         0.00E+00        0.00E+00
1828.25         0.00E+00        0.00E+00
1828.75         0.00E+00        0.00E+00
1829.24         0.00E+00        0.00E+00
1829.74         0.00E+00        0.00E+00
1830.23         0.00E+00        0.00E+00
1830.73         0.00E+00        0.00E+00
1831.22         0.00E+00        0.00E+00
1831.72         0.00E+00        0.00E+00
1832.21         0.00E+00        0.00E+00
1832.71         0.00E+00        0.00E+00
1833.21         0.00E+00        0.00E+00
1833.70         0.00E+00        0.00E+00
1834.20         0.00E+00        0.00E+00
1834.69         0.00E+00        0.00E+00
1835.19         0.00E+00        0.00E+00
1835.68         0.00E+00        0.00E+00
1836.18         0.00E+00        0.00E+00
1836.67         0.00E+00        0.00E+00
1837.17         0.00E+00        0.00E+00
1837.67         0.00E+00        0.00E+00
1838.16         0.00E+00        0.00E+00
1838.66         0.00E+00        0.00E+00
1839.15         0.00E+00        0.00E+00
1839.65         0.00E+00        0.00E+00
1840.14         0.00E+00        0.00E+00
1840.64         0.00E+00        0.00E+00
1841.14         0.00E+00        0.00E+00
1841.63         0.00E+00        0.00E+00
1842.13         0.00E+00        0.00E+00
1842.62         0.00E+00        0.00E+00
1843.12         0.00E+00        0.00E+00
1843.61         0.00E+00        0.00E+00
1844.11         0.00E+00        0.00E+00
