0 Branching ratio for CS2       Total        1 branches    
Lambda          Total           CS/S
1800.00         9.12E-18        9.12E-18
1800.50         9.54E-18        9.54E-18
1800.99         9.97E-18        9.97E-18
1801.49         1.04E-17        1.04E-17
1801.98         1.08E-17        1.08E-17
1802.48         1.12E-17        1.12E-17
1802.97         1.17E-17        1.17E-17
1803.47         1.23E-17        1.23E-17
1803.96         1.41E-17        1.41E-17
1804.46         1.59E-17        1.59E-17
1804.96         1.77E-17        1.77E-17
1805.45         2.28E-17        2.28E-17
1805.95         2.93E-17        2.93E-17
1806.44         3.57E-17        3.57E-17
1806.94         4.20E-17        4.20E-17
1807.43         4.59E-17        4.59E-17
1807.93         4.97E-17        4.97E-17
1808.43         5.36E-17        5.36E-17
1808.92         6.03E-17        6.03E-17
1809.42         6.85E-17        6.85E-17
1809.91         7.67E-17        7.67E-17
1810.41         8.36E-17        8.36E-17
1810.90         8.53E-17        8.53E-17
1811.40         8.70E-17        8.70E-17
1811.89         8.88E-17        8.88E-17
1812.39         9.05E-17        9.05E-17
1812.89         9.23E-17        9.23E-17
1813.38         9.40E-17        9.40E-17
1813.88         9.55E-17        9.55E-17
1814.37         9.55E-17        9.55E-17
1814.87         9.55E-17        9.55E-17
1815.36         9.55E-17        9.55E-17
1815.86         9.55E-17        9.55E-17
1816.36         9.55E-17        9.55E-17
1816.85         9.55E-17        9.55E-17
1817.35         9.55E-17        9.55E-17
1817.84         9.55E-17        9.55E-17
1818.34         9.55E-17        9.55E-17
1818.83         9.55E-17        9.55E-17
1819.33         9.31E-17        9.31E-17
1819.82         8.95E-17        8.95E-17
1820.32         8.59E-17        8.59E-17
1820.82         8.04E-17        8.04E-17
1821.31         6.83E-17        6.83E-17
1821.81         5.62E-17        5.62E-17
1822.30         4.41E-17        4.41E-17
1822.80         4.05E-17        4.05E-17
1823.29         3.90E-17        3.90E-17
1823.79         3.75E-17        3.75E-17
1824.28         3.61E-17        3.61E-17
1824.78         3.47E-17        3.47E-17
1825.28         3.33E-17        3.33E-17
1825.77         3.20E-17        3.20E-17
1826.27         3.00E-17        3.00E-17
1826.76         2.77E-17        2.77E-17
1827.26         2.55E-17        2.55E-17
1827.75         2.37E-17        2.37E-17
1828.25         2.29E-17        2.29E-17
1828.75         2.20E-17        2.20E-17
1829.24         2.12E-17        2.12E-17
1829.74         1.99E-17        1.99E-17
1830.23         1.84E-17        1.84E-17
1830.73         1.70E-17        1.70E-17
1831.22         1.60E-17        1.60E-17
1831.72         1.67E-17        1.67E-17
1832.21         1.75E-17        1.75E-17
1832.71         1.82E-17        1.82E-17
1833.21         1.89E-17        1.89E-17
1833.70         1.96E-17        1.96E-17
1834.20         2.03E-17        2.03E-17
1834.69         2.09E-17        2.09E-17
1835.19         2.09E-17        2.09E-17
1835.68         2.09E-17        2.09E-17
1836.18         2.09E-17        2.09E-17
1836.67         2.09E-17        2.09E-17
1837.17         2.09E-17        2.09E-17
1837.67         2.09E-17        2.09E-17
1838.16         2.15E-17        2.15E-17
1838.66         2.35E-17        2.35E-17
1839.15         2.54E-17        2.54E-17
1839.65         2.73E-17        2.73E-17
1840.14         2.75E-17        2.75E-17
1840.64         2.75E-17        2.75E-17
1841.14         2.75E-17        2.75E-17
1841.63         2.75E-17        2.75E-17
1842.13         2.75E-17        2.75E-17
1842.62         2.75E-17        2.75E-17
1843.12         2.75E-17        2.75E-17
1843.61         2.75E-17        2.75E-17
1844.11         2.75E-17        2.75E-17
1844.60         2.75E-17        2.75E-17
1845.10         2.75E-17        2.75E-17
1845.60         2.75E-17        2.75E-17
1846.09         2.75E-17        2.75E-17
1846.59         2.75E-17        2.75E-17
1847.08         2.80E-17        2.80E-17
1847.58         2.86E-17        2.86E-17
1848.07         2.92E-17        2.92E-17
1848.57         2.98E-17        2.98E-17
1849.07         3.04E-17        3.04E-17
1849.56         3.10E-17        3.10E-17
1850.06         3.16E-17        3.16E-17
1850.55         3.02E-17        3.02E-17
1851.05         2.87E-17        2.87E-17
1851.54         2.72E-17        2.72E-17
1852.04         2.57E-17        2.57E-17
1852.53         2.42E-17        2.42E-17
1853.03         2.26E-17        2.26E-17
1853.53         2.11E-17        2.11E-17
1854.02         2.17E-17        2.17E-17
1854.52         2.26E-17        2.26E-17
1855.01         2.35E-17        2.35E-17
1855.51         2.36E-17        2.36E-17
1856.00         2.28E-17        2.28E-17
1856.50         2.20E-17        2.20E-17
1856.99         2.12E-17        2.12E-17
1857.49         2.04E-17        2.04E-17
1857.99         1.95E-17        1.95E-17
1858.48         1.87E-17        1.87E-17
1858.98         1.84E-17        1.84E-17
1859.47         1.91E-17        1.91E-17
1859.97         1.98E-17        1.98E-17
1860.46         2.05E-17        2.05E-17
1860.96         2.11E-17        2.11E-17
1861.46         2.18E-17        2.18E-17
1861.95         2.25E-17        2.25E-17
1862.45         2.31E-17        2.31E-17
1862.94         2.38E-17        2.38E-17
1863.44         2.45E-17        2.45E-17
1863.93         2.51E-17        2.51E-17
1864.43         2.58E-17        2.58E-17
1864.92         2.65E-17        2.65E-17
1865.42         2.72E-17        2.72E-17
1865.92         2.72E-17        2.72E-17
1866.41         2.63E-17        2.63E-17
1866.91         2.54E-17        2.54E-17
1867.40         2.45E-17        2.45E-17
1867.90         2.36E-17        2.36E-17
1868.39         2.27E-17        2.27E-17
1868.89         2.18E-17        2.18E-17
1869.38         2.09E-17        2.09E-17
1869.88         2.00E-17        2.00E-17
1870.38         1.91E-17        1.91E-17
1870.87         1.83E-17        1.83E-17
1871.37         1.89E-17        1.89E-17
1871.86         1.97E-17        1.97E-17
1872.36         2.05E-17        2.05E-17
1872.85         2.19E-17        2.19E-17
1873.35         2.38E-17        2.38E-17
1873.85         2.58E-17        2.58E-17
1874.34         2.76E-17        2.76E-17
1874.84         2.88E-17        2.88E-17
1875.33         2.99E-17        2.99E-17
1875.83         3.10E-17        3.10E-17
1876.32         3.22E-17        3.22E-17
1876.82         3.36E-17        3.36E-17
1877.31         3.50E-17        3.50E-17
1877.81         3.63E-17        3.63E-17
1878.31         3.79E-17        3.79E-17
1878.80         3.95E-17        3.95E-17
1879.30         4.10E-17        4.10E-17
1879.79         4.07E-17        4.07E-17
1880.29         3.90E-17        3.90E-17
1880.78         3.73E-17        3.73E-17
1881.28         3.56E-17        3.56E-17
1881.78         3.39E-17        3.39E-17
1882.27         3.23E-17        3.23E-17
1882.77         3.06E-17        3.06E-17
1883.26         2.89E-17        2.89E-17
1883.76         2.72E-17        2.72E-17
1884.25         2.55E-17        2.55E-17
1884.75         2.42E-17        2.42E-17
1885.24         2.67E-17        2.67E-17
1885.74         2.92E-17        2.92E-17
1886.24         3.18E-17        3.18E-17
1886.73         3.43E-17        3.43E-17
1887.23         3.68E-17        3.68E-17
1887.72         3.93E-17        3.93E-17
1888.22         4.18E-17        4.18E-17
1888.71         4.47E-17        4.47E-17
1889.21         4.77E-17        4.77E-17
1889.70         5.06E-17        5.06E-17
1890.20         5.35E-17        5.35E-17
1890.70         5.65E-17        5.65E-17
1891.19         5.94E-17        5.94E-17
1891.69         6.23E-17        6.23E-17
1892.18         6.52E-17        6.52E-17
1892.68         6.82E-17        6.82E-17
1893.17         7.11E-17        7.11E-17
1893.67         6.96E-17        6.96E-17
1894.17         6.43E-17        6.43E-17
1894.66         5.90E-17        5.90E-17
1895.16         5.38E-17        5.38E-17
1895.65         4.85E-17        4.85E-17
1896.15         4.32E-17        4.32E-17
1896.64         3.80E-17        3.80E-17
1897.14         3.98E-17        3.98E-17
1897.63         4.50E-17        4.50E-17
1898.13         5.01E-17        5.01E-17
1898.63         5.51E-17        5.51E-17
1899.12         5.76E-17        5.76E-17
1899.62         6.02E-17        6.02E-17
1900.11         6.27E-17        6.27E-17
1900.61         6.53E-17        6.53E-17
1901.10         6.78E-17        6.78E-17
1901.60         7.04E-17        7.04E-17
1902.10         7.31E-17        7.31E-17
1902.59         7.67E-17        7.67E-17
1903.09         8.02E-17        8.02E-17
1903.58         8.37E-17        8.37E-17
1904.08         8.73E-17        8.73E-17
1904.57         9.08E-17        9.08E-17
1905.07         9.44E-17        9.44E-17
1905.56         9.79E-17        9.79E-17
1906.06         1.01E-16        1.01E-16
1906.56         1.05E-16        1.05E-16
1907.05         1.09E-16        1.09E-16
1907.55         1.07E-16        1.07E-16
1908.04         1.03E-16        1.03E-16
1908.54         9.85E-17        9.85E-17
1909.03         9.47E-17        9.47E-17
1909.53         9.16E-17        9.16E-17
1910.02         8.85E-17        8.85E-17
1910.52         8.54E-17        8.54E-17
1911.02         8.23E-17        8.23E-17
1911.51         7.92E-17        7.92E-17
1912.01         7.61E-17        7.61E-17
1912.50         7.31E-17        7.31E-17
1913.00         7.00E-17        7.00E-17
1913.49         6.69E-17        6.69E-17
1913.99         6.38E-17        6.38E-17
1914.49         7.21E-17        7.21E-17
1914.98         8.36E-17        8.36E-17
1915.48         9.51E-17        9.51E-17
1915.97         1.07E-16        1.07E-16
1916.47         1.18E-16        1.18E-16
1916.96         1.30E-16        1.30E-16
1917.46         1.41E-16        1.41E-16
1917.95         1.43E-16        1.43E-16
1918.45         1.40E-16        1.40E-16
1918.95         1.37E-16        1.37E-16
1919.44         1.35E-16        1.35E-16
1919.94         1.32E-16        1.32E-16
1920.43         1.29E-16        1.29E-16
1920.93         1.27E-16        1.27E-16
1921.42         1.38E-16        1.38E-16
1921.92         1.57E-16        1.57E-16
1922.41         1.76E-16        1.76E-16
1922.91         1.84E-16        1.84E-16
1923.41         1.57E-16        1.57E-16
1923.90         1.29E-16        1.29E-16
1924.40         1.01E-16        1.01E-16
1924.89         9.27E-17        9.27E-17
1925.39         8.91E-17        8.91E-17
1925.88         8.55E-17        8.55E-17
1926.38         8.45E-17        8.45E-17
1926.88         8.83E-17        8.83E-17
1927.37         9.20E-17        9.20E-17
1927.87         9.58E-17        9.58E-17
1928.36         9.95E-17        9.95E-17
1928.86         1.03E-16        1.03E-16
1929.35         1.07E-16        1.07E-16
1929.85         1.17E-16        1.17E-16
1930.34         1.43E-16        1.43E-16
1930.84         1.68E-16        1.68E-16
1931.34         1.93E-16        1.93E-16
1931.83         2.18E-16        2.18E-16
1932.33         2.44E-16        2.44E-16
1932.82         2.69E-16        2.69E-16
1933.32         2.86E-16        2.86E-16
1933.81         2.76E-16        2.76E-16
1934.31         2.66E-16        2.66E-16
1934.81         2.56E-16        2.56E-16
1935.30         2.45E-16        2.45E-16
1935.80         2.35E-16        2.35E-16
1936.29         2.25E-16        2.25E-16
1936.79         2.15E-16        2.15E-16
1937.28         2.07E-16        2.07E-16
1937.78         1.98E-16        1.98E-16
1938.27         1.89E-16        1.89E-16
1938.77         1.80E-16        1.80E-16
1939.27         1.71E-16        1.71E-16
1939.76         1.62E-16        1.62E-16
1940.26         1.53E-16        1.53E-16
1940.75         1.45E-16        1.45E-16
1941.25         1.36E-16        1.36E-16
1941.74         1.27E-16        1.27E-16
1942.24         1.28E-16        1.28E-16
1942.73         1.31E-16        1.31E-16
1943.23         1.34E-16        1.34E-16
1943.73         1.36E-16        1.36E-16
1944.22         1.39E-16        1.39E-16
1944.72         1.41E-16        1.41E-16
1945.21         1.44E-16        1.44E-16
1945.71         1.73E-16        1.73E-16
1946.20         2.07E-16        2.07E-16
1946.70         2.42E-16        2.42E-16
1947.20         2.76E-16        2.76E-16
1947.69         3.10E-16        3.10E-16
1948.19         3.45E-16        3.45E-16
1948.68         3.79E-16        3.79E-16
1949.18         3.02E-16        3.02E-16
1949.67         2.21E-16        2.21E-16
1950.17         2.20E-16        2.20E-16
1950.66         2.81E-16        2.81E-16
1951.16         3.27E-16        3.27E-16
1951.66         3.25E-16        3.25E-16
1952.15         3.10E-16        3.10E-16
1952.65         3.02E-16        3.02E-16
1953.14         3.09E-16        3.09E-16
1953.64         3.03E-16        3.03E-16
1954.13         2.74E-16        2.74E-16
1954.63         2.39E-16        2.39E-16
1955.13         2.02E-16        2.02E-16
1955.62         1.74E-16        1.74E-16
1956.12         1.62E-16        1.62E-16
1956.61         1.52E-16        1.52E-16
1957.11         1.56E-16        1.56E-16
1957.60         1.48E-16        1.48E-16
1958.10         1.38E-16        1.38E-16
1958.59         1.43E-16        1.43E-16
1959.09         1.50E-16        1.50E-16
1959.59         1.53E-16        1.53E-16
1960.08         1.45E-16        1.45E-16
1960.58         1.29E-16        1.29E-16
1961.07         1.19E-16        1.19E-16
1961.57         1.28E-16        1.28E-16
1962.06         1.42E-16        1.42E-16
1962.56         1.41E-16        1.41E-16
1963.05         1.35E-16        1.35E-16
1963.55         1.35E-16        1.35E-16
1964.05         1.58E-16        1.58E-16
1964.54         2.00E-16        2.00E-16
1965.04         2.65E-16        2.65E-16
1965.53         3.16E-16        3.16E-16
1966.03         3.33E-16        3.33E-16
1966.52         3.43E-16        3.43E-16
1967.02         3.62E-16        3.62E-16
1967.52         3.57E-16        3.57E-16
1968.01         3.53E-16        3.53E-16
1968.51         3.25E-16        3.25E-16
1969.00         2.91E-16        2.91E-16
1969.50         2.78E-16        2.78E-16
1969.99         2.77E-16        2.77E-16
1970.49         2.43E-16        2.43E-16
1970.98         2.03E-16        2.03E-16
1971.48         1.72E-16        1.72E-16
1971.98         1.52E-16        1.52E-16
1972.47         1.43E-16        1.43E-16
1972.97         1.39E-16        1.39E-16
1973.46         1.28E-16        1.28E-16
1973.96         1.25E-16        1.25E-16
1974.45         1.29E-16        1.29E-16
1974.95         1.23E-16        1.23E-16
1975.44         1.10E-16        1.10E-16
1975.94         1.21E-16        1.21E-16
1976.44         1.48E-16        1.48E-16
1976.93         1.61E-16        1.61E-16
1977.43         1.72E-16        1.72E-16
1977.92         1.64E-16        1.64E-16
1978.42         1.52E-16        1.52E-16
1978.91         1.57E-16        1.57E-16
1979.41         1.70E-16        1.70E-16
1979.91         1.99E-16        1.99E-16
1980.40         2.36E-16        2.36E-16
1980.90         2.61E-16        2.61E-16
1981.39         3.04E-16        3.04E-16
1981.89         3.60E-16        3.60E-16
1982.38         3.82E-16        3.82E-16
1982.88         3.78E-16        3.78E-16
1983.37         3.72E-16        3.72E-16
1983.87         3.57E-16        3.57E-16
1984.37         3.28E-16        3.28E-16
1984.86         2.86E-16        2.86E-16
1985.36         2.36E-16        2.36E-16
1985.85         2.04E-16        2.04E-16
1986.35         1.78E-16        1.78E-16
1986.84         1.45E-16        1.45E-16
1987.34         1.37E-16        1.37E-16
1987.84         1.29E-16        1.29E-16
1988.33         1.12E-16        1.12E-16
1988.83         9.32E-17        9.32E-17
1989.32         8.88E-17        8.88E-17
