0 Branching ratio for H2S       Total        1 branches    
Lambda          Total          SH/H
1800.00         1.89E-18        1.89E-18
1800.50         1.90E-18        1.90E-18
1800.99         1.91E-18        1.91E-18
1801.49         1.92E-18        1.92E-18
1801.98         1.93E-18        1.93E-18
1802.48         1.93E-18        1.93E-18
1802.97         1.94E-18        1.94E-18
1803.47         1.95E-18        1.95E-18
1803.96         1.96E-18        1.96E-18
1804.46         1.97E-18        1.97E-18
1804.96         1.98E-18        1.98E-18
1805.45         1.99E-18        1.99E-18
1805.95         2.00E-18        2.00E-18
1806.44         2.01E-18        2.01E-18
1806.94         2.02E-18        2.02E-18
1807.43         2.03E-18        2.03E-18
1807.93         2.04E-18        2.04E-18
1808.43         2.05E-18        2.05E-18
1808.92         2.06E-18        2.06E-18
1809.42         2.07E-18        2.07E-18
1809.91         2.08E-18        2.08E-18
1810.41         2.10E-18        2.10E-18
1810.90         2.11E-18        2.11E-18
1811.40         2.13E-18        2.13E-18
1811.89         2.14E-18        2.14E-18
1812.39         2.15E-18        2.15E-18
1812.89         2.17E-18        2.17E-18
1813.38         2.19E-18        2.19E-18
1813.88         2.20E-18        2.20E-18
1814.37         2.22E-18        2.22E-18
1814.87         2.23E-18        2.23E-18
1815.36         2.25E-18        2.25E-18
1815.86         2.27E-18        2.27E-18
1816.36         2.29E-18        2.29E-18
1816.85         2.31E-18        2.31E-18
1817.35         2.32E-18        2.32E-18
1817.84         2.34E-18        2.34E-18
1818.34         2.36E-18        2.36E-18
1818.83         2.38E-18        2.38E-18
1819.33         2.40E-18        2.40E-18
1819.82         2.41E-18        2.41E-18
1820.32         2.43E-18        2.43E-18
1820.82         2.45E-18        2.45E-18
1821.31         2.47E-18        2.47E-18
1821.81         2.49E-18        2.49E-18
1822.30         2.51E-18        2.51E-18
1822.80         2.53E-18        2.53E-18
1823.29         2.55E-18        2.55E-18
1823.79         2.57E-18        2.57E-18
1824.28         2.59E-18        2.59E-18
1824.78         2.61E-18        2.61E-18
1825.28         2.62E-18        2.62E-18
1825.77         2.64E-18        2.64E-18
1826.27         2.66E-18        2.66E-18
1826.76         2.68E-18        2.68E-18
1827.26         2.69E-18        2.69E-18
1827.75         2.71E-18        2.71E-18
1828.25         2.73E-18        2.73E-18
1828.75         2.74E-18        2.74E-18
1829.24         2.76E-18        2.76E-18
1829.74         2.78E-18        2.78E-18
1830.23         2.79E-18        2.79E-18
1830.73         2.81E-18        2.81E-18
1831.22         2.82E-18        2.82E-18
1831.72         2.83E-18        2.83E-18
1832.21         2.85E-18        2.85E-18
1832.71         2.86E-18        2.86E-18
1833.21         2.87E-18        2.87E-18
1833.70         2.89E-18        2.89E-18
1834.20         2.90E-18        2.90E-18
1834.69         2.91E-18        2.91E-18
1835.19         2.92E-18        2.92E-18
1835.68         2.93E-18        2.93E-18
1836.18         2.94E-18        2.94E-18
1836.67         2.95E-18        2.95E-18
1837.17         2.96E-18        2.96E-18
1837.67         2.97E-18        2.97E-18
1838.16         2.99E-18        2.99E-18
1838.66         2.99E-18        2.99E-18
1839.15         3.01E-18        3.01E-18
1839.65         3.02E-18        3.02E-18
1840.14         3.03E-18        3.03E-18
1840.64         3.03E-18        3.03E-18
1841.14         3.05E-18        3.05E-18
1841.63         3.06E-18        3.06E-18
1842.13         3.07E-18        3.07E-18
1842.62         3.08E-18        3.08E-18
1843.12         3.09E-18        3.09E-18
1843.61         3.10E-18        3.10E-18
1844.11         3.12E-18        3.12E-18
1844.60         3.14E-18        3.14E-18
1845.10         3.15E-18        3.15E-18
1845.60         3.16E-18        3.16E-18
1846.09         3.17E-18        3.17E-18
1846.59         3.19E-18        3.19E-18
1847.08         3.20E-18        3.20E-18
1847.58         3.22E-18        3.22E-18
1848.07         3.24E-18        3.24E-18
1848.57         3.25E-18        3.25E-18
1849.07         3.27E-18        3.27E-18
1849.56         3.29E-18        3.29E-18
1850.06         3.31E-18        3.31E-18
1850.55         3.33E-18        3.33E-18
1851.05         3.35E-18        3.35E-18
1851.54         3.37E-18        3.37E-18
1852.04         3.40E-18        3.40E-18
1852.53         3.42E-18        3.42E-18
1853.03         3.45E-18        3.45E-18
1853.53         3.47E-18        3.47E-18
1854.02         3.49E-18        3.49E-18
1854.52         3.52E-18        3.52E-18
1855.01         3.54E-18        3.54E-18
1855.51         3.57E-18        3.57E-18
1856.00         3.60E-18        3.60E-18
1856.50         3.63E-18        3.63E-18
1856.99         3.65E-18        3.65E-18
1857.49         3.68E-18        3.68E-18
1857.99         3.71E-18        3.71E-18
1858.48         3.74E-18        3.74E-18
1858.98         3.77E-18        3.77E-18
1859.47         3.80E-18        3.80E-18
1859.97         3.82E-18        3.82E-18
1860.46         3.85E-18        3.85E-18
1860.96         3.88E-18        3.88E-18
1861.46         3.91E-18        3.91E-18
1861.95         3.94E-18        3.94E-18
1862.45         3.97E-18        3.97E-18
1862.94         3.99E-18        3.99E-18
1863.44         4.02E-18        4.02E-18
1863.93         4.04E-18        4.04E-18
1864.43         4.07E-18        4.07E-18
1864.92         4.10E-18        4.10E-18
1865.42         4.12E-18        4.12E-18
1865.92         4.14E-18        4.14E-18
1866.41         4.16E-18        4.16E-18
1866.91         4.18E-18        4.18E-18
1867.40         4.21E-18        4.21E-18
1867.90         4.23E-18        4.23E-18
1868.39         4.24E-18        4.24E-18
1868.89         4.26E-18        4.26E-18
1869.38         4.28E-18        4.28E-18
1869.88         4.30E-18        4.30E-18
1870.38         4.31E-18        4.31E-18
1870.87         4.33E-18        4.33E-18
1871.37         4.34E-18        4.34E-18
1871.86         4.36E-18        4.36E-18
1872.36         4.38E-18        4.38E-18
1872.85         4.39E-18        4.39E-18
1873.35         4.39E-18        4.39E-18
1873.85         4.41E-18        4.41E-18
1874.34         4.42E-18        4.42E-18
1874.84         4.43E-18        4.43E-18
1875.33         4.45E-18        4.45E-18
1875.83         4.45E-18        4.45E-18
1876.32         4.46E-18        4.46E-18
1876.82         4.46E-18        4.46E-18
1877.31         4.48E-18        4.48E-18
1877.81         4.49E-18        4.49E-18
1878.31         4.49E-18        4.49E-18
1878.80         4.51E-18        4.51E-18
1879.30         4.52E-18        4.52E-18
1879.79         4.52E-18        4.52E-18
1880.29         4.53E-18        4.53E-18
1880.78         4.53E-18        4.53E-18
1881.28         4.54E-18        4.54E-18
1881.78         4.56E-18        4.56E-18
1882.27         4.57E-18        4.57E-18
1882.77         4.57E-18        4.57E-18
1883.26         4.57E-18        4.57E-18
1883.76         4.58E-18        4.58E-18
1884.25         4.60E-18        4.60E-18
1884.75         4.60E-18        4.60E-18
1885.24         4.61E-18        4.61E-18
1885.74         4.64E-18        4.64E-18
1886.24         4.65E-18        4.65E-18
1886.73         4.65E-18        4.65E-18
1887.23         4.66E-18        4.66E-18
1887.72         4.67E-18        4.67E-18
1888.22         4.69E-18        4.69E-18
1888.71         4.72E-18        4.72E-18
1889.21         4.73E-18        4.73E-18
