0 Branching ratio for O2       Total        1 branches    
Lambda          Total           O/O
1800.00         5.62E-20        5.62E-20
1800.50         5.51E-20        5.51E-20
1800.99         5.39E-20        5.39E-20
1801.49         5.28E-20        5.28E-20
1801.98         5.17E-20        5.17E-20
1802.48         5.06E-20        5.06E-20
1802.97         4.94E-20        4.94E-20
1803.47         4.83E-20        4.83E-20
1803.96         4.72E-20        4.72E-20
1804.46         4.66E-20        4.66E-20
1804.96         4.60E-20        4.60E-20
1805.45         4.54E-20        4.54E-20
1805.95         4.49E-20        4.49E-20
1806.44         4.43E-20        4.43E-20
1806.94         4.38E-20        4.38E-20
1807.43         4.32E-20        4.32E-20
1807.93         4.26E-20        4.26E-20
1808.43         4.21E-20        4.21E-20
1808.92         4.15E-20        4.15E-20
1809.42         4.09E-20        4.09E-20
1809.91         4.04E-20        4.04E-20
1810.41         3.98E-20        3.98E-20
1810.90         3.92E-20        3.92E-20
1811.40         3.87E-20        3.87E-20
1811.89         3.81E-20        3.81E-20
1812.39         3.75E-20        3.75E-20
1812.89         3.70E-20        3.70E-20
1813.38         3.64E-20        3.64E-20
1813.88         3.59E-20        3.59E-20
1814.37         3.53E-20        3.53E-20
1814.87         3.47E-20        3.47E-20
1815.36         3.42E-20        3.42E-20
1815.86         3.36E-20        3.36E-20
1816.36         3.30E-20        3.30E-20
1816.85         3.25E-20        3.25E-20
1817.35         1.13E-21        1.13E-21
1817.84         1.12E-21        1.12E-21
1818.34         1.11E-21        1.11E-21
1818.83         1.10E-21        1.10E-21
1819.33         1.09E-21        1.09E-21
1819.82         1.08E-21        1.08E-21
1820.32         1.06E-21        1.06E-21
1820.82         1.05E-21        1.05E-21
1821.31         1.04E-21        1.04E-21
1821.81         1.03E-21        1.03E-21
1822.30         1.02E-21        1.02E-21
1822.80         1.01E-21        1.01E-21
1823.29         1.00E-21        1.00E-21
1823.79         9.89E-22        9.89E-22
1824.28         9.78E-22        9.78E-22
1824.78         9.67E-22        9.67E-22
1825.28         9.57E-22        9.57E-22
1825.77         9.46E-22        9.46E-22
1826.27         9.35E-22        9.35E-22
1826.76         9.24E-22        9.24E-22
1827.26         8.88E-22        8.88E-22
1827.75         7.96E-22        7.96E-22
1828.25         7.04E-22        7.04E-22
1828.75         6.19E-22        6.19E-22
1829.24         6.08E-22        6.08E-22
1829.74         5.96E-22        5.96E-22
1830.23         5.85E-22        5.85E-22
1830.73         5.73E-22        5.73E-22
1831.22         5.62E-22        5.62E-22
1831.72         5.51E-22        5.51E-22
1832.21         5.39E-22        5.39E-22
1832.71         5.28E-22        5.28E-22
1833.21         5.16E-22        5.16E-22
1833.70         5.05E-22        5.05E-22
1834.20         4.94E-22        4.94E-22
1834.69         4.82E-22        4.82E-22
1835.19         4.71E-22        4.71E-22
1835.68         4.60E-22        4.60E-22
1836.18         4.48E-22        4.48E-22
1836.67         4.37E-22        4.37E-22
1837.17         4.25E-22        4.25E-22
1837.67         4.14E-22        4.14E-22
1838.16         4.03E-22        4.03E-22
1838.66         3.91E-22        3.91E-22
1839.15         3.80E-22        3.80E-22
1839.65         3.68E-22        3.68E-22
1840.14         3.57E-22        3.57E-22
1840.64         3.46E-22        3.46E-22
1841.14         3.34E-22        3.34E-22
1841.63         3.23E-22        3.23E-22
1842.13         3.11E-22        3.11E-22
1842.62         3.00E-22        3.00E-22
1843.12         2.94E-22        2.94E-22
1843.61         2.92E-22        2.92E-22
1844.11         2.89E-22        2.89E-22
1844.60         2.86E-22        2.86E-22
1845.10         2.83E-22        2.83E-22
1845.60         2.81E-22        2.81E-22
1846.09         2.78E-22        2.78E-22
1846.59         2.75E-22        2.75E-22
1847.08         2.73E-22        2.73E-22
1847.58         2.70E-22        2.70E-22
1848.07         2.67E-22        2.67E-22
1848.57         2.65E-22        2.65E-22
1849.07         2.62E-22        2.62E-22
1849.56         2.59E-22        2.59E-22
1850.06         2.56E-22        2.56E-22
1850.55         2.54E-22        2.54E-22
1851.05         2.51E-22        2.51E-22
1851.54         2.48E-22        2.48E-22
1852.04         2.46E-22        2.46E-22
1852.53         2.43E-22        2.43E-22
1853.03         2.40E-22        2.40E-22
1853.53         2.38E-22        2.38E-22
1854.02         2.35E-22        2.35E-22
1854.52         2.32E-22        2.32E-22
1855.01         2.30E-22        2.30E-22
1855.51         2.27E-22        2.27E-22
1856.00         2.24E-22        2.24E-22
1856.50         2.21E-22        2.21E-22
1856.99         2.19E-22        2.19E-22
1857.49         2.16E-22        2.16E-22
1857.99         2.13E-22        2.13E-22
1858.48         2.11E-22        2.11E-22
1858.98         2.08E-22        2.08E-22
