0 Branching ratio for SO      S/O        0 branches     
Lambda   S/O
1800.00         1.69E-18
1800.50         1.70E-18
1800.99         1.72E-18
1801.49         1.73E-18
1801.98         1.74E-18
1802.48         1.76E-18
1802.97         1.77E-18
1803.47         1.78E-18
1803.96         1.80E-18
1804.46         1.81E-18
1804.96         1.82E-18
1805.45         1.83E-18
1805.95         1.85E-18
1806.44         1.86E-18
1806.94         1.87E-18
1807.43         1.88E-18
1807.93         1.90E-18
1808.43         1.91E-18
1808.92         1.92E-18
1809.42         1.93E-18
1809.91         1.95E-18
1810.41         1.96E-18
1810.90         1.97E-18
1811.40         1.99E-18
1811.89         2.00E-18
1812.39         2.02E-18
1812.89         2.03E-18
1813.38         2.05E-18
1813.88         2.06E-18
1814.37         2.08E-18
1814.87         2.10E-18
1815.36         2.12E-18
1815.86         2.13E-18
1816.36         2.15E-18
1816.85         2.17E-18
1817.35         2.19E-18
1817.84         2.21E-18
1818.34         2.23E-18
1818.83         2.25E-18
1819.33         2.27E-18
1819.82         2.29E-18
1820.32         2.31E-18
1820.82         2.33E-18
1821.31         2.35E-18
1821.81         2.37E-18
1822.30         2.38E-18
1822.80         2.40E-18
1823.29         2.42E-18
1823.79         2.44E-18
1824.28         2.46E-18
1824.78         2.48E-18
1825.28         2.49E-18
1825.77         2.51E-18
1826.27         2.53E-18
1826.76         2.54E-18
1827.26         2.56E-18
1827.75         2.57E-18
1828.25         2.59E-18
1828.75         2.61E-18
1829.24         2.62E-18
1829.74         2.64E-18
1830.23         2.65E-18
1830.73         2.67E-18
1831.22         2.68E-18
1831.72         2.70E-18
1832.21         2.72E-18
1832.71         2.74E-18
1833.21         2.75E-18
1833.70         2.77E-18
1834.20         2.79E-18
1834.69         2.81E-18
1835.19         2.83E-18
1835.68         2.86E-18
1836.18         2.88E-18
1836.67         2.90E-18
1837.17         2.93E-18
1837.67         2.95E-18
1838.16         2.98E-18
1838.66         3.00E-18
1839.15         3.03E-18
1839.65         3.05E-18
1840.14         3.08E-18
1840.64         3.11E-18
1841.14         3.13E-18
1841.63         3.16E-18
1842.13         3.19E-18
1842.62         3.21E-18
1843.12         3.24E-18
1843.61         3.26E-18
1844.11         3.29E-18
1844.60         3.31E-18
1845.10         3.34E-18
1845.60         3.36E-18
1846.09         3.38E-18
1846.59         3.40E-18
1847.08         3.42E-18
1847.58         3.44E-18
1848.07         3.46E-18
1848.57         3.48E-18
1849.07         3.50E-18
1849.56         3.51E-18
1850.06         3.53E-18
1850.55         3.55E-18
1851.05         3.56E-18
1851.54         3.58E-18
1852.04         3.60E-18
1852.53         3.61E-18
1853.03         3.63E-18
1853.53         3.65E-18
1854.02         3.67E-18
1854.52         3.69E-18
1855.01         3.71E-18
1855.51         3.73E-18
1856.00         3.76E-18
1856.50         3.78E-18
1856.99         3.81E-18
1857.49         3.84E-18
1857.99         3.87E-18
1858.48         3.90E-18
1858.98         3.93E-18
1859.47         3.96E-18
1859.97         4.00E-18
1860.46         4.03E-18
1860.96         4.07E-18
1861.46         4.11E-18
1861.95         4.14E-18
1862.45         4.18E-18
1862.94         4.21E-18
1863.44         4.25E-18
1863.93         4.28E-18
1864.43         4.31E-18
1864.92         4.34E-18
1865.42         4.37E-18
1865.92         4.40E-18
1866.41         4.43E-18
1866.91         4.45E-18
1867.40         4.48E-18
1867.90         4.50E-18
1868.39         4.52E-18
1868.89         4.54E-18
1869.38         4.56E-18
1869.88         4.58E-18
1870.38         4.60E-18
1870.87         4.61E-18
1871.37         4.63E-18
1871.86         4.64E-18
1872.36         4.65E-18
1872.85         4.67E-18
1873.35         4.68E-18
1873.85         4.70E-18
1874.34         4.72E-18
1874.84         4.76E-18
1875.33         4.79E-18
1875.83         4.84E-18
1876.32         4.88E-18
1876.82         4.92E-18
1877.31         4.95E-18
1877.81         4.98E-18
1878.31         5.00E-18
1878.80         5.01E-18
1879.30         5.03E-18
1879.79         5.04E-18
1880.29         5.06E-18
1880.78         5.09E-18
1881.28         5.11E-18
1881.78         5.14E-18
1882.27         5.17E-18
1882.77         5.21E-18
1883.26         5.25E-18
1883.76         5.28E-18
1884.25         5.32E-18
1884.75         5.36E-18
1885.24         5.39E-18
1885.74         5.43E-18
1886.24         5.47E-18
1886.73         5.51E-18
1887.23         5.54E-18
1887.72         5.57E-18
1888.22         5.61E-18
1888.71         5.63E-18
1889.21         5.66E-18
1889.70         5.68E-18
1890.20         5.71E-18
1890.70         5.73E-18
1891.19         5.76E-18
1891.69         5.79E-18
1892.18         5.82E-18
1892.68         5.85E-18
1893.17         5.88E-18
1893.67         5.89E-18
1894.17         5.91E-18
1894.66         5.90E-18
1895.16         5.90E-18
1895.65         5.90E-18
1896.15         5.90E-18
1896.64         5.91E-18
1897.14         5.93E-18
1897.63         5.96E-18
1898.13         6.00E-18
1898.63         6.04E-18
1899.12         6.08E-18
1899.62         6.11E-18
1900.11         6.14E-18
1900.61         6.16E-18
1901.10         6.18E-18
1901.60         6.21E-18
1902.10         6.24E-18
1902.59         6.28E-18
1903.09         6.32E-18
1903.58         6.37E-18
1904.08         6.42E-18
1904.57         6.47E-18
1905.07         6.52E-18
1905.56         6.57E-18
1906.06         6.60E-18
1906.56         6.63E-18
1907.05         6.66E-18
1907.55         6.69E-18
1908.04         6.72E-18
1908.54         6.76E-18
1909.03         6.79E-18
1909.53         6.82E-18
1910.02         6.82E-18
1910.52         6.79E-18
1911.02         6.74E-18
1911.51         6.65E-18
1912.01         6.57E-18
1912.50         6.55E-18
1913.00         6.56E-18
1913.49         6.75E-18
1913.99         6.97E-18
1914.49         7.35E-18
1914.98         7.70E-18
1915.48         7.85E-18
1915.97         7.95E-18
1916.47         7.51E-18
1916.96         7.07E-18
1917.46         6.53E-18
1917.95         6.00E-18
