0 Branching ratio for SO2       Total        1 branches    
Lambda          Total           SO/O
1800.00         2.54E-18        2.54E-18
1800.50         2.40E-18        2.40E-18
1800.99         2.38E-18        2.38E-18
1801.49         2.36E-18        2.36E-18
1801.98         2.34E-18        2.34E-18
1802.48         2.33E-18        2.33E-18
1802.97         2.31E-18        2.31E-18
1803.47         2.29E-18        2.29E-18
1803.96         2.27E-18        2.27E-18
1804.46         2.25E-18        2.25E-18
1804.96         2.23E-18        2.23E-18
1805.45         2.21E-18        2.21E-18
1805.95         2.19E-18        2.19E-18
1806.44         2.17E-18        2.17E-18
1806.94         2.16E-18        2.16E-18
1807.43         2.14E-18        2.14E-18
1807.93         2.12E-18        2.12E-18
1808.43         2.10E-18        2.10E-18
1808.92         2.08E-18        2.08E-18
1809.42         2.06E-18        2.06E-18
1809.91         2.04E-18        2.04E-18
1810.41         2.02E-18        2.02E-18
1810.90         2.01E-18        2.01E-18
1811.40         1.99E-18        1.99E-18
1811.89         1.97E-18        1.97E-18
1812.39         1.95E-18        1.95E-18
1812.89         1.93E-18        1.93E-18
1813.38         1.91E-18        1.91E-18
1813.88         1.89E-18        1.89E-18
1814.37         1.87E-18        1.87E-18
1814.87         1.85E-18        1.85E-18
1815.36         1.84E-18        1.84E-18
1815.86         1.82E-18        1.82E-18
1816.36         1.80E-18        1.80E-18
1816.85         1.78E-18        1.78E-18
1817.35         1.76E-18        1.76E-18
1817.84         1.74E-18        1.74E-18
1818.34         1.72E-18        1.72E-18
1818.83         1.70E-18        1.70E-18
1819.33         1.69E-18        1.69E-18
1819.82         1.67E-18        1.67E-18
1820.32         1.65E-18        1.65E-18
1820.82         1.63E-18        1.63E-18
1821.31         1.61E-18        1.61E-18
1821.81         1.59E-18        1.59E-18
1822.30         1.57E-18        1.57E-18
1822.80         1.55E-18        1.55E-18
1823.29         1.54E-18        1.54E-18
1823.79         1.52E-18        1.52E-18
1824.28         1.50E-18        1.50E-18
1824.78         1.48E-18        1.48E-18
1825.28         1.46E-18        1.46E-18
1825.77         1.44E-18        1.44E-18
1826.27         1.42E-18        1.42E-18
1826.76         1.40E-18        1.40E-18
1827.26         1.38E-18        1.38E-18
1827.75         1.37E-18        1.37E-18
1828.25         1.35E-18        1.35E-18
1828.75         1.33E-18        1.33E-18
1829.24         1.31E-18        1.31E-18
1829.74         1.29E-18        1.29E-18
1830.23         7.95E-19        7.95E-19
1830.73         1.67E-19        1.67E-19
1831.22         1.36E-18        1.36E-18
1831.72         2.50E-18        2.50E-18
1832.21         1.17E-18        1.17E-18
1832.71         8.55E-19        8.55E-19
1833.21         1.24E-18        1.24E-18
1833.70         1.71E-18        1.71E-18
1834.20         2.37E-18        2.37E-18
1834.69         1.92E-18        1.92E-18
1835.19         3.17E-18        3.17E-18
1835.68         3.65E-18        3.65E-18
1836.18         2.41E-18        2.41E-18
1836.67         6.73E-19        6.73E-19
1837.17         1.85E-18        1.85E-18
1837.67         4.06E-18        4.06E-18
1838.16         4.13E-18        4.13E-18
1838.66         2.18E-18        2.18E-18
1839.15         8.95E-19        8.95E-19
1839.65         2.17E-18        2.17E-18
1840.14         3.16E-18        3.16E-18
1840.64         3.14E-18        3.14E-18
1841.14         3.62E-18        3.62E-18
1841.63         3.58E-18        3.58E-18
1842.13         2.74E-18        2.74E-18
1842.62         2.48E-18        2.48E-18
1843.12         2.51E-18        2.51E-18
1843.61         1.89E-18        1.89E-18
1844.11         1.66E-18        1.66E-18
1844.60         1.73E-18        1.73E-18
1845.10         9.26E-19        9.26E-19
1845.60         9.94E-19        9.94E-19
1846.09         2.38E-18        2.38E-18
1846.59         3.93E-18        3.93E-18
1847.08         3.65E-18        3.65E-18
1847.58         2.76E-18        2.76E-18
1848.07         3.04E-18        3.04E-18
1848.57         3.84E-18        3.84E-18
1849.07         3.49E-18        3.49E-18
1849.56         3.00E-18        3.00E-18
1850.06         3.44E-18        3.44E-18
1850.55         4.16E-18        4.16E-18
1851.05         4.50E-18        4.50E-18
1851.54         4.66E-18        4.66E-18
1852.04         4.89E-18        4.89E-18
1852.53         4.11E-18        4.11E-18
1853.03         3.00E-18        3.00E-18
1853.53         2.74E-18        2.74E-18
1854.02         2.94E-18        2.94E-18
1854.52         3.14E-18        3.14E-18
1855.01         3.04E-18        3.04E-18
1855.51         2.64E-18        2.64E-18
1856.00         2.33E-18        2.33E-18
1856.50         2.35E-18        2.35E-18
1856.99         2.47E-18        2.47E-18
1857.49         2.67E-18        2.67E-18
1857.99         2.70E-18        2.70E-18
1858.48         2.14E-18        2.14E-18
1858.98         1.55E-18        1.55E-18
1859.47         1.81E-18        1.81E-18
1859.97         2.37E-18        2.37E-18
1860.46         2.41E-18        2.41E-18
1860.96         2.77E-18        2.77E-18
1861.46         3.78E-18        3.78E-18
1861.95         4.96E-18        4.96E-18
